Epoch 65: Label Accuracy = 40134/48318 = 83.06%, ID samples = 48318, Open-set samples = 16105
Epoch 66: Label Accuracy = 40308/48318 = 83.42%, ID samples = 48318, Open-set samples = 16105
Epoch 67: Label Accuracy = 40097/48318 = 82.99%, ID samples = 48318, Open-set samples = 16105
Epoch 68: Label Accuracy = 40229/48318 = 83.26%, ID samples = 48318, Open-set samples = 16105
Epoch 69: Label Accuracy = 40380/48318 = 83.57%, ID samples = 48318, Open-set samples = 16105
Epoch 70: Label Accuracy = 40245/48318 = 83.29%, ID samples = 48318, Open-set samples = 16105
Epoch 71: Label Accuracy = 40095/48318 = 82.98%, ID samples = 48318, Open-set samples = 16105
Epoch 72: Label Accuracy = 40293/48318 = 83.39%, ID samples = 48318, Open-set samples = 16105
Epoch 73: Label Accuracy = 40318/48318 = 83.44%, ID samples = 48318, Open-set samples = 16105
Epoch 74: Label Accuracy = 40463/48318 = 83.74%, ID samples = 48318, Open-set samples = 16105
Epoch 75: Label Accuracy = 40310/48318 = 83.43%, ID samples = 48318, Open-set samples = 16105
Epoch 76: Label Accuracy = 40359/48318 = 83.53%, ID samples = 48318, Open-set samples = 16105
Epoch 77: Label Accuracy = 40340/48318 = 83.49%, ID samples = 48318, Open-set samples = 16105
Epoch 78: Label Accuracy = 40265/48318 = 83.33%, ID samples = 48318, Open-set samples = 16105
Epoch 79: Label Accuracy = 40434/48318 = 83.68%, ID samples = 48318, Open-set samples = 16105
Epoch 80: Label Accuracy = 40377/48318 = 83.57%, ID samples = 48318, Open-set samples = 16105
Epoch 81: Label Accuracy = 40352/48318 = 83.51%, ID samples = 48318, Open-set samples = 16105
Epoch 82: Label Accuracy = 40431/48318 = 83.68%, ID samples = 48318, Open-set samples = 16105
Epoch 83: Label Accuracy = 40194/48318 = 83.19%, ID samples = 48318, Open-set samples = 16105
Epoch 84: Label Accuracy = 40411/48318 = 83.64%, ID samples = 48318, Open-set samples = 16105
Epoch 85: Label Accuracy = 40322/48318 = 83.45%, ID samples = 48318, Open-set samples = 16105
Epoch 86: Label Accuracy = 40346/48318 = 83.50%, ID samples = 48318, Open-set samples = 16105
Epoch 87: Label Accuracy = 40310/48318 = 83.43%, ID samples = 48318, Open-set samples = 16105
Epoch 88: Label Accuracy = 40304/48318 = 83.41%, ID samples = 48318, Open-set samples = 16105
Epoch 89: Label Accuracy = 40301/48318 = 83.41%, ID samples = 48318, Open-set samples = 16105
Epoch 90: Label Accuracy = 40376/48318 = 83.56%, ID samples = 48318, Open-set samples = 16105
Epoch 91: Label Accuracy = 40315/48318 = 83.44%, ID samples = 48318, Open-set samples = 16105
Epoch 92: Label Accuracy = 40309/48318 = 83.42%, ID samples = 48318, Open-set samples = 16105
Epoch 93: Label Accuracy = 40323/48318 = 83.45%, ID samples = 48318, Open-set samples = 16105
Epoch 94: Label Accuracy = 40367/48318 = 83.54%, ID samples = 48318, Open-set samples = 16105
Epoch 95: Label Accuracy = 40382/48318 = 83.58%, ID samples = 48318, Open-set samples = 16105
Epoch 96: Label Accuracy = 40336/48318 = 83.48%, ID samples = 48318, Open-set samples = 16105
Epoch 97: Label Accuracy = 40290/48318 = 83.39%, ID samples = 48318, Open-set samples = 16105
Epoch 98: Label Accuracy = 40309/48318 = 83.42%, ID samples = 48318, Open-set samples = 16105
Epoch 99: Label Accuracy = 40366/48318 = 83.54%, ID samples = 48318, Open-set samples = 16105
